CameraCaptureEvent_id,Site,SeasonYear,On_Drake_Harddrive,On_Monarch_Harddrive,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_TimeZone,SiteTime_Correct,SiteTime_Adjust_Direction,SiteTime_Adjust_Value,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
GCPR_CC_14Jun2022,GCPR,08_Summer2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,96,964,0,964,964,48,
GCRT_CC_03Dec2021,GCRT,06_Winter2021,Yes,Yes,n/a,Yes,2022-06-04,photo,UTC -7,Yes,none,0000:00:00 00:00:00,83,544,1088,0,1088,2,
GCRT_CC_10Sep2021,GCRT,05_Fall2021,Yes,Yes,n/a,Yes,2022-06-06,photo,UTC -7,Yes,none,0000:00:00 00:00:00,46,645,1290,0,1290,23,
GCRT_CC_25Jul2021,GCRT,04_Summer2021,Yes,Yes,n/a,Yes,2022-06-07,photo,UTC -7,Yes,none,0000:00:00 00:00:00,51,4609,9218,0,9218,41,
GCRT_CC_17Sep2022,GCRT,09_Fall2022,Yes,,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,98,2757,5514,0,5514,52,
GCTC_CC_06Jun2021,GCTC,04_Summer2021,Yes,Yes,n/a,"each trigger event is 3 photos, not 2",No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,,3918,11754,0,11754,42,
GCTL_CC_06Dec2021,GCTL,06_Winter2021,Yes,,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,82,285,0,285,285,1,
GCTL_CC_07Mar2022,GCTL,07_Spring2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,,0000:00:00 00:00:00,90,31,0,31,31,35,
GCTL_CC_16Jun2022,GCTL,08_Summer2022,Yes,Yes,No,Yes,No,video,UTC -7,Yes,none,0000:00:00 00:00:00,100,159,0,159,159,49,
GCWP_CC_13Sep2021,GCWP,05_Fall2021,Yes,Yes,n/a,Yes,No,photo,UTC -7,Yes,none,0000:00:00 00:00:00,97,7683,23049,0,23049,45,
