TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,updated_at,location_list_0,location_list_1,class.count,top_identity,top_value,consensus_pct
GCETRF_CC_13Sep2021_08020072_frame1,08020072_frame_101.png,8/3/2021 2:11,08020072_frame_102.png,8/3/2021 2:11,99750743,9858,26731,120984,10,2024-06-26 07:28:14 UTC,classification_count,2024-06-03 20:28:05 UTC,2024-06-03 20:28:05 UTC,https://panoptes-uploads.zooniverse.org/subject_location/b516f0b4-8f92-430b-b075-557ba35ea47e.png,https://panoptes-uploads.zooniverse.org/subject_location/fef97ced-8543-46be-bf8e-94a9aeb37003.png,10,PARTIALANIMAL,4,40
GCETRF_CC_13Sep2021_08040075_frame1,08040075_frame_101.png,8/4/2021 20:33,08040075_frame_102.png,8/4/2021 20:33,99750744,9858,26731,120984,10,2024-06-23 23:34:04 UTC,classification_count,2024-06-03 20:28:05 UTC,2024-06-03 20:28:05 UTC,https://panoptes-uploads.zooniverse.org/subject_location/174f6d95-37e5-4cef-a122-5c2f99387692.png,https://panoptes-uploads.zooniverse.org/subject_location/9f4b8231-286f-41ab-b3c6-c581b12a96f1.png,10,NOTHINGHERE,9,90
GCETRF_CC_13Sep2021_08040076_frame1,08040076_frame_101.png,8/4/2021 20:35,08040076_frame_102.png,8/4/2021 20:35,99750747,9858,26731,120984,10,2024-06-26 07:30:56 UTC,classification_count,2024-06-03 20:28:05 UTC,2024-06-03 20:28:05 UTC,https://panoptes-uploads.zooniverse.org/subject_location/02d9af80-c753-4a92-b8a7-7a25e6f027dd.png,https://panoptes-uploads.zooniverse.org/subject_location/ff126a5f-1c65-4eae-ab8a-b281c1c408ed.png,10,NOTHINGHERE,10,100
GCETRF_CC_13Sep2021_08040077_frame1,08040077_frame_101.png,8/5/2021 1:13,08040077_frame_102.png,8/5/2021 1:13,99750759,9858,26731,120984,10,2024-06-26 04:13:11 UTC,classification_count,2024-06-03 20:28:08 UTC,2024-06-03 20:28:08 UTC,https://panoptes-uploads.zooniverse.org/subject_location/ebe20979-7f94-4f1a-a8ab-e40283ee3918.png,https://panoptes-uploads.zooniverse.org/subject_location/5eff4e97-94f6-49a4-9de0-cc3fd6ad39fa.png,10,NOTHINGHERE,10,100
GCETRF_CC_13Sep2021_08050078_frame1,08050078_frame_101.png,8/6/2021 6:58,08050078_frame_102.png,8/6/2021 6:58,99750761,9858,26731,120984,10,2024-06-24 19:21:22 UTC,classification_count,2024-06-03 20:28:08 UTC,2024-06-03 20:28:08 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8cd7e462-5767-48ae-8ecc-10eba88f1e08.png,https://panoptes-uploads.zooniverse.org/subject_location/a221a3db-95af-4915-a733-f88ef62679f4.png,10,PARTIALANIMAL,7,70
GCETRF_CC_13Sep2021_08190079_frame1,08190079_frame_101.png,8/19/2021 22:28,08190079_frame_102.png,8/19/2021 22:28,99750772,9858,26731,120984,10,2024-06-26 12:05:15 UTC,classification_count,2024-06-03 20:28:10 UTC,2024-06-03 20:28:10 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a1b1f765-9c9c-42be-b270-c2ad864dc49f.png,https://panoptes-uploads.zooniverse.org/subject_location/7f10cb8e-ecbd-47d6-9c3c-bf798de0504d.png,10,NOTHINGHERE,10,100
GCETRF_CC_13Sep2021_08220080_frame1,08220080_frame_101.png,8/23/2021 8:58,08220080_frame_102.png,8/23/2021 8:58,99750775,9858,26731,120984,10,2024-06-25 03:09:23 UTC,classification_count,2024-06-03 20:28:11 UTC,2024-06-03 20:28:11 UTC,https://panoptes-uploads.zooniverse.org/subject_location/edb3e7e3-638c-467e-ba67-a6c1aafa3da4.png,https://panoptes-uploads.zooniverse.org/subject_location/e6eb5b19-4d4e-482b-b41b-8b5f971ab11d.png,10,NOTHINGHERE,10,100
GCETRF_CC_13Sep2021_08240081_frame1,08240081_frame_101.png,8/25/2021 1:34,08240081_frame_102.png,8/25/2021 1:34,99750779,9858,26731,120984,10,2024-06-25 20:00:14 UTC,classification_count,2024-06-03 20:28:11 UTC,2024-06-03 20:28:11 UTC,https://panoptes-uploads.zooniverse.org/subject_location/499a96c6-a2ea-467d-9d6a-d5a86c84c9bf.png,https://panoptes-uploads.zooniverse.org/subject_location/4c32c941-6ceb-47fc-9199-d8b57ce1666a.png,10,HUMANORVEHICLE,7,70
GCETRF_CC_13Sep2021_08240084_frame1,08240084_frame_101.png,8/25/2021 7:26,08240084_frame_102.png,8/25/2021 7:26,99750781,9858,26731,120984,10,2024-06-26 07:51:58 UTC,classification_count,2024-06-03 20:28:12 UTC,2024-06-03 20:28:12 UTC,https://panoptes-uploads.zooniverse.org/subject_location/d66b6808-5493-42d9-b670-451163c567ff.png,https://panoptes-uploads.zooniverse.org/subject_location/a6ac1c76-bbd9-4b82-bbfc-f537033a4e11.png,10,NOTHINGHERE,3,30
GCETRF_CC_13Sep2021_08240085_frame1,08240085_frame_101.png,8/25/2021 7:27,08240085_frame_102.png,8/25/2021 7:27,99750791,9858,26731,120984,10,2024-06-26 07:47:33 UTC,classification_count,2024-06-03 20:28:13 UTC,2024-06-03 20:28:13 UTC,https://panoptes-uploads.zooniverse.org/subject_location/76fbf2cc-335b-4ffa-b927-755fa4f98b33.png,https://panoptes-uploads.zooniverse.org/subject_location/3451dd69-bf22-45a6-a2ae-eea67417d8a2.png,10,RINGTAIL,5,50
GCETRF_CC_13Sep2021_08240086_frame1,08240086_frame_101.png,8/25/2021 7:39,08240086_frame_102.png,8/25/2021 7:39,99750794,9858,26731,120984,10,2024-06-25 16:42:07 UTC,classification_count,2024-06-03 20:28:14 UTC,2024-06-03 20:28:14 UTC,https://panoptes-uploads.zooniverse.org/subject_location/c83ffcef-996b-4a53-8565-c986a123555e.png,https://panoptes-uploads.zooniverse.org/subject_location/825bd486-60ac-45ea-8d2d-d4ae8a13c8ae.png,10,RINGTAIL,9,90
GCETRF_CC_13Sep2021_08270088_frame1,08270088_frame_101.png,8/28/2021 5:13,08270088_frame_102.png,8/28/2021 5:13,99750797,9858,26731,120984,10,2024-06-24 20:17:05 UTC,classification_count,2024-06-03 20:28:15 UTC,2024-06-03 20:28:15 UTC,https://panoptes-uploads.zooniverse.org/subject_location/47beb848-2189-41ba-8a70-14c8fc96645d.png,https://panoptes-uploads.zooniverse.org/subject_location/37c41b40-e3fe-407a-be20-9420eedf98e5.png,10,RINGTAIL,9,90
GCETRF_CC_13Sep2021_08270089_frame1,08270089_frame_101.png,8/28/2021 5:14,08270089_frame_102.png,8/28/2021 5:14,99750808,9858,26731,120984,11,2024-06-26 11:54:37 UTC,classification_count,2024-06-03 20:28:17 UTC,2024-06-03 20:28:17 UTC,https://panoptes-uploads.zooniverse.org/subject_location/e0347b32-348d-4110-ae2c-f9eadcc64865.png,https://panoptes-uploads.zooniverse.org/subject_location/2bde5bba-3fa9-4b70-9175-2bb2748a2e9c.png,11,PARTIALANIMAL,6,54.55
GCETRF_CC_13Sep2021_08280090_frame1,08280090_frame_101.png,8/29/2021 6:54,08280090_frame_102.png,8/29/2021 6:54,99750812,9858,26731,120984,10,2024-06-23 19:07:08 UTC,classification_count,2024-06-03 20:28:17 UTC,2024-06-03 20:28:17 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8dada3c9-c6da-43cd-bc68-239d54aff9ae.png,https://panoptes-uploads.zooniverse.org/subject_location/8e5804a1-ecb4-4083-be95-87cd47f6ee2a.png,10,RINGTAIL,6,60
GCETRF_CC_13Sep2021_08280091_frame1,08280091_frame_101.png,8/29/2021 6:55,08280091_frame_102.png,8/29/2021 6:55,99750815,9858,26731,120984,10,2024-06-26 07:32:15 UTC,classification_count,2024-06-03 20:28:18 UTC,2024-06-03 20:28:18 UTC,https://panoptes-uploads.zooniverse.org/subject_location/4284c3d4-bbf4-4570-90ba-a5b5badd107c.png,https://panoptes-uploads.zooniverse.org/subject_location/8623e93b-1760-4c3a-a47a-ab0a06ebcd47.png,10,RINGTAIL,10,100
GCETRF_CC_13Sep2021_08290092_frame1,08290092_frame_101.png,8/29/2021 14:54,08290092_frame_102.png,8/29/2021 14:54,99750827,9858,26731,120984,10,2024-06-23 22:43:25 UTC,classification_count,2024-06-03 20:28:20 UTC,2024-06-03 20:28:20 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a0af699c-9fec-4c5f-a772-a632e030d923.png,https://panoptes-uploads.zooniverse.org/subject_location/1a23b9b0-3f7d-40eb-8bbd-ccd1529510dd.png,10,RINGTAIL,6,60
GCETRF_CC_13Sep2021_08300096_frame1,08300096_frame_101.png,8/31/2021 7:05,08300096_frame_102.png,8/31/2021 7:05,99750830,9858,26731,120984,10,2024-06-24 23:23:09 UTC,classification_count,2024-06-03 20:28:20 UTC,2024-06-03 20:28:20 UTC,https://panoptes-uploads.zooniverse.org/subject_location/1460a4b1-3dfd-49bd-aa39-ed9ea78669ec.png,https://panoptes-uploads.zooniverse.org/subject_location/3b8c3e86-5c3e-4458-88c0-d6ec449be99a.png,10,RINGTAIL,8,80
GCETRF_CC_13Sep2021_09030103_frame1,09030103_frame_101.png,9/4/2021 3:27,09030103_frame_102.png,9/4/2021 3:27,99750831,9858,26731,120984,10,2024-06-26 11:48:53 UTC,classification_count,2024-06-03 20:28:20 UTC,2024-06-03 20:28:20 UTC,https://panoptes-uploads.zooniverse.org/subject_location/d1244752-41b0-44ca-be45-2e6dd6fc5730.png,https://panoptes-uploads.zooniverse.org/subject_location/5f841144-a650-4e2a-949f-13cd0862fd3e.png,10,RINGTAIL,10,100
GCETRF_CC_13Sep2021_09040104_frame1,09040104_frame_101.png,9/5/2021 9:22,09040104_frame_102.png,9/5/2021 9:22,99750833,9858,26731,120984,10,2024-06-25 06:34:15 UTC,classification_count,2024-06-03 20:28:21 UTC,2024-06-03 20:28:21 UTC,https://panoptes-uploads.zooniverse.org/subject_location/418fb0c4-8ee1-4ae7-9b62-84a0294f1b02.png,https://panoptes-uploads.zooniverse.org/subject_location/15299128-c9f3-444e-be4b-5470f08aac0f.png,10,RINGTAIL,7,70
GCETRF_CC_13Sep2021_09070105_frame1,09070105_frame_101.png,9/8/2021 8:22,09070105_frame_102.png,9/8/2021 8:22,99750839,9858,26731,120984,10,2024-06-24 21:13:32 UTC,classification_count,2024-06-03 20:28:22 UTC,2024-06-03 20:28:22 UTC,https://panoptes-uploads.zooniverse.org/subject_location/ca1b3fa9-9173-4e4f-aac3-abfc8d8f6207.png,https://panoptes-uploads.zooniverse.org/subject_location/b9a58a0d-5188-410b-a4bc-09ef640548bb.png,10,RINGTAIL,7,70
GCETRF_CC_13Sep2021_06030005_frame_2,06030005_frame_201.png,6/4/2021 0:59,06030005_frame_202.png,6/4/2021 0:59,99750853,9858,26731,120984,10,2024-06-26 12:08:46 UTC,classification_count,2024-06-03 20:28:27 UTC,2024-06-03 20:28:27 UTC,https://panoptes-uploads.zooniverse.org/subject_location/cf55b78c-3c85-4769-8a33-b4f199890aed.png,https://panoptes-uploads.zooniverse.org/subject_location/c820ab2b-89d5-40bd-9565-21e33278616c.png,10,PARTIALANIMAL,5,50
GCETRF_CC_13Sep2021_06040006_frame_2,06040006_frame_201.png,6/4/2021 12:31,06040006_frame_202.png,6/4/2021 12:31,99750857,9858,26731,120984,10,2024-06-26 12:03:59 UTC,classification_count,2024-06-03 20:28:27 UTC,2024-06-03 20:28:27 UTC,https://panoptes-uploads.zooniverse.org/subject_location/87d14829-87b0-4ef7-9e54-d16525387ce2.png,https://panoptes-uploads.zooniverse.org/subject_location/57b7b691-3c0a-4d90-ac9c-0ef88fda8512.png,10,RINGTAIL,5,50
GCETRF_CC_13Sep2021_06070008_frame_2,06070008_frame_201.png,6/7/2021 22:41,06070008_frame_202.png,6/7/2021 22:41,99750856,9858,26731,120984,10,2024-06-24 21:35:21 UTC,classification_count,2024-06-03 20:28:27 UTC,2024-06-03 20:28:27 UTC,https://panoptes-uploads.zooniverse.org/subject_location/30d94b04-de7b-4042-a570-f4541f7f6440.png,https://panoptes-uploads.zooniverse.org/subject_location/decbb2b1-2d82-4ee4-8502-06414925d1b2.png,10,HUMANORVEHICLE,5,50
