Source,common name,ReportedName,IUCN_scientific_name,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage,diet_category,notes
Nava-Vargas 1994,Firecracker bush,Bouvardia ternifolia,,Bouvardia ternifolia,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Bouvardia,Bouvardia ternifolia,,,
Speir et al. 2021,Mustard,Brassicaceae,,Brassicaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,x,x,seed,,
Nava-Vargas 1994,Greentwig,Brogniartia intermedia,,Brogniartia intermedia,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Brogniartia,Brogniartia intermedia,,,
Mead & van Devender 1981,Great horned owl,Bubo virginianus,,Bubo virginianus,ITIS,species,Animalia,Chordata,Aves,Strigiformes,Stridae,Bubo,Bubo virginianus,,,
Rodríguez-Estrella et al. 2000,Bersera,Bursera spp.,,Bursera,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Bersera,,,,
Calderon Vega 2002,Red elephant tree,Bursera hindstana,,Bursera hindsiana,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Bersera,Bursera hindsiana,,,
Rodríguez-Estrella et al. 2000,Bersera,Burceraceae,,Burseraceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,x,x,,,
Roadman 2014,Grasshopper,grasshoppers,,Caelifera,ITIS,suborder,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Taylor 1954,Grasshopper,grasshoppers,,Caelifera,ITIS,suborder,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Wyatt 1993,Grasshopper,grasshoppers,,Caelifera,ITIS,suborder,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Nava-Vargas 1994,Fairyduster,Callandra erlophyla,,Calliandra eriophylla,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,Calliandra eriophylla,,,
Wood 1954,American beautyberry,french mulberries,,Callicarpa americana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa,Callicarpa americana,,,
Rodríguez-Estrella et al. 2000,Zebra-tailed lizard,Callisaurus draconoides,,Callisaurus draconoides,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Callisarus,Callisaurus draconoides,,,
Roadman 2014,Golden-mantled Ground Squirrel,Golden-mantled Ground Squirrel,,Callospermophilus lateralis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis,,,
Roadman 2014,Golden-mantled Ground Squirrel,Golden-mantled Ground Squirrel,,Callospermophilus lateralis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis,,,
Alexander et al. 1994,Incense cedar,Calocedrus decurrens (leaves),Calocedrus decurrens,Calocedrus decurrens,ITIS,species,Plantae,,Pinopsida,Pinales,Cupressaceae,Calocedrus,Calocedrus decurrens,,,
Alexander et al. 1994,Carpenter ant,Camponotus,not_specified,Camponotus,ITIS,genus,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,x,,,
Harrison 2012,Cactus wren,Campylorhynchus brunneicapillus,,Campylorhynchus brunneicapillus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus brunneicapillus,,,
Rodríguez-Estrella et al. 2000,Cactus wren,Campylorhynchus brunneicapillus,,Campylorhynchus brunneicapillus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus brunneicapillus,,,
Sanchez 2016,Domestic goat,Capra hircus,,Capra hircus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,,,
Navarrete-Ozuna 2011,Pepper,Capscicum sp. ,,Capsicum,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,x,,,
Speir et al. 2021,Pepper,Capsicum,,Capsicum,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,x,,,
Villanueva 2008,Pepper,Capsicum sp.,,Capsicum,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,x,,,
