Source,common name,ReportedName,IUCN_scientific_name,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage,diet_category,notes
Rodríguez-Estrella et al. 2000,Mallow,Malvaceae,,Malvaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Mavales,Malvaceae,x,x,,,
Trapp 1973,Mammal,Mammal,,Mammalia,ITIS,class,Animalia,Chordata,Mammalia,x,x,x,x,,,
Chavez-Ramirez & Slack 1993,Mammal,Mammalia,,Mammalia,ITIS,class,Animalia,Chordata,Mammalia,x,x,x,x,,,
Nava-Vargas 1994,Mammal,Mammalia,,Mammalia,ITIS,class,Animalia,Chordata,Mammalia,x,x,x,x,,,
Nava-Vargas 1994,,Dolichotele longimmama,,Mammillaria longimamma,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cataceae,Mammillaria,Mammillaria longimamma,,,
Nava-Vargas 1994,,Mammillaria obconella,,Mammillaria obconella,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,Mammillaria obconella,,,
Calderon Vega 2002,Mantid,Orthoptera Mantidae,,Mantidae,ITIS,family,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,x,x,,,
Rodríguez-Estrella et al. 2000,European mantis,Mantis religiosa,,Mantis religiosa,ITIS,species,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Mantis,Mantis religiosa,,,
Taylor 1954,Golden-fronted woodpecker,golden-fronted woodpecker,,Melanerpes aurifrons,ITIS,species,Animalia,Chordata,Aves,Piciformes ,Picidae,Melanerpes,Melanerpes aurifrons,,,
Sanchez 2016,Teabush,Melochia tomentosa,,Melochia tomentosa,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Mavales,Mavaceae,Melochia,Melochia tomentosa,,,
Cisneros-Moreno & Martínez-Corone 2019,Buderigar,Melopsittacus undulatus,,Melopsittacus undulatus,ITIS,species,Animalia,Chordata,Aves,Psittaciformes,Psittacinae,Melopsittacus,Melopsittacus undulatus,,,
Taylor 1954,Song sparrow,song sparrow ,,Melospiza melodia,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,Melospiza melodia,,,
Cisneros-Moreno & Martínez-Corone 2019,canyon townee,Melozone fusca,,Melozone fusca,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,Melozone fusca,,,
Trapp 1973,Skunk,Mephitis,,Mephitis,ITIS,genus,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,,adult,,
Allen 2013,Striped skunk,striped skunk,,Mephitis mephitis,ITIS,species,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,Mephitis mephitis,carcass,,
Wyatt 1993,Armagosa vole,California meadow vole,Microtus californicus,Microtus californicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus californicus,,,
Alexander et al. 1994,Creeping vole,Microtus oregoni,,Microtus oregoni,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus oregoni,,,
Nava-Vargas 1994,Catclaw mimosa,Mimosa biuncfera,,Mimosa aculeaticarpa var. biuncifera,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa aculeaticarpa var. biuncifera,,,
Alexander et al. 1994,Mollusk,Mollusca,not_specified,Mollusca,ITIS,phylum,Animalia,Mollusca,x,x,x,x,x,shell,,
Wood 1954,Cowbird,cowbird,,Molothrus,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,x,,,
Cisneros-Moreno & Martínez-Corone 2019,Bronzed cowbird,Molothrus aeneus,,Molothrus aeneus,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Molothrus,,,
Nava-Vargas 1994,,Montanos tomentosa,,Montanoa tomentosa,not recognized,species,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Montanoa,Montanoa tomentosa,,,
Trapp 1973,Mulberry,Morus,,Morus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,x,,,
Ackerson and Harveson 2006,Rat,Muridae,,Muridae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Muridae,x,x,,,
Wyatt 1993,House mouse,house mouse,Mus musculus,Mus musculus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,,,
Trapp 1973,House mouse,Mus musculus,,Mus musculus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,,,
Calderon Vega 2002,Crusted flycatcher,Myiarchus sp. ,,Myiarchus,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,x,,,
Rodríguez-Estrella et al. 2000,Myrapod,Miriapoda,,Myriapoda,ITIS,subphylum,Animalia,Arthropoda,x,x,x,x,x,,,
Nava-Vargas 1994,,Myrtillocactus geometrizans,,Myrtillocactus geometrizans,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Catacaceae,Catacaceae,Myrtillocactus,Myrtillocactus geometrizans,,
Nava-Vargas 1994,,Myrtillocacuts geometrizans,,Myrtillocactus geometrizans,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Catacaceae,Catacaceae,Myrtillocactus,Myrtillocactus geometrizans,,
Nava-Vargas 1994,,Mytillocactus geometrizan,,Myrtillocactus geometrizans,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Catacaceae,Catacaceae,Myrtillocactus,Myrtillocactus geometrizans,,
Speir et al. 2021,Woodrat,Neotoma,,Neotoma,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,x,,,
Harrison 2012,Woodrat,Neotoma sp.,not_specified,Neotoma,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,x,,,
Toweill & Treer 1977,Woodrat,Neotoma sp.,,Neotoma,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,x,,,
Grinnell et al. 1937,Woodrat,Neotoma spp.,,Neotoma,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,x,,,
Mead & van Devender 1981,Woodrat,Neotoma spp.,,Neotoma,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,x,,,
Harrison 2012,White-throated woodrat,Neotoma albigula,Neotoma albigula,Neotoma albigula,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma albigula,,,
Sanchez 2016,Bryant's woodrat,Neotoma bryanti,,Neotoma bryanti,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma bryanti,,,
Alexander et al. 1994,Dusky-footed woodrat,Neotoma fuscipes,Neotoma fuscipes,Neotoma fuscipes,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma fuscipes,,,
Koch & Brody 1981,Dusky-footed woodrat,Neotoma fuscipes,Neotoma fuscipes,Neotoma fuscipes,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma fuscipes,,,
Calderon Vega 2002,Desert woodrat,Neotoma lepida,,Neotoma lepida,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma lepida,,,
Rodríguez-Estrella et al. 2000,Desert woodrat,Neotoma lepida,,Neotoma lepida,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma lepida,,,
Trapp 1973,Desert woodrat,Neotoma lepida,,Neotoma lepida,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma lepida,,,
Castellanos Morales et al. 2008,Mexican woodrat,Neotoma mexicana,Neotoma mexicana,Neotoma mexicana,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma mexicana,,,
Harrison 2012,Mexican woodrat,Neotoma mexicana,Neotoma mexicana,Neotoma mexicana,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma mexicana,,,
Harrison 2012,Southern plains woodrat,Neotoma micropus,Neotoma micropus,Neotoma micropus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma micropus,,,
Wood 1954,Coralbeads,coralbeads,,Nertera granadensis,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Nertera,Nertera granadensis,,,
Taylor 1954,Lacewings,lacewings,,Neuroptera,ITIS,order,Animalia,Arthropoda,Insecta,Neuroptera,x,x,x,,,
Ackerson and Harveson 2006,Neuroptera,Neuroptera,,Neuroptera,ITIS,order,Animalia,Arthropoda,Insecta,Neuroptera,x,x,x,,,
Alexander et al. 1994,American shrew mole,Neurotrichus gibbsii,,Neurotrichus gibbsii,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Neurotrichus,x,,,
Alexander et al. 1994,Sap beetle,Nitidulidae,not_specified,Nitidulidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,x,x,,,
Mead & van Devender 1981,Crawford's gray shrew,Notiosorex crawfordi,,Notiosorex crawfordi,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Notiosorex,x,,,
Allen et al. 2015,,Black-tailed deer,,Odocoileus hemionus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,x,carcass,,
Allen et al. 2016,,Black-tailed deer,,Odocoileus hemionus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,x,carcass,,
Rodríguez-Estrella et al. 2000,,Odocoileus hemionus,,Odocoileus hemionus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,x,,,
Trapp 1973,,Odocoileus hemionus,,Odocoileus hemionus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,x,,,
Toweill & Treer 1977,,Odocoileus virginianus,,Odocoileus virginianus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,x,,,
Taylor 1954,,dragonflies,,Odonata,ITIS,order,Animalia,Arthropoda,Insecta,Odonata,x,x,x,,,
Roadman 2014,,Dragonfly,,Odonata,ITIS,order,Animalia,Arthropoda,Insecta,Odonata,x,x,x,,,
Cisneros-Moreno & Martínez-Corone 2019,,Odonata,,Odonata,ITIS,order,Animalia,Arthropoda,Insecta,Odonata,x,x,x,,,
Sanchez 2016,,Odonata,,Odonata,ITIS,order,Animalia,Arthropoda,Insecta,Odonata,x,x,x,,,
Trapp 1973,,Oleaceae ,,Oleaceae ,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae ,x,x,,,
Sanchez 2016,,Olneya teosota,,Olneya tesota,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Olneya,x,,,
Rodríguez-Estrella et al. 2000,,Olneya tesota,,Olneya tesota,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Olneya,x,,,
Alexander et al. 1994,tiger beetle,Omus,not_specified,Omus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Omus,x,,,
Wyatt 1993,Woodlouse,sowbug,not_specified,Oniscidea,ITIS,suborder,Animalia,Arthropoda,Malacostraca,Isopoda,x,x,x,,,
Harrison 2012,,Onychomys sp.,not_specified,Onychomys,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,x,,,
Alexander et al. 1994,Harvestmen,Opilionida,not_specified,Opiliones,ITIS,order,Animalia,Arthropoda,Arachnida,Opiliones,x,x,x,,,
Speir et al. 2021,Pricklypear,Opuntia,,Opuntia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,x,,,
Castellanos Morales et al. 2008,Pricklypear,Opuntia sp.,,Opuntia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,x,,,
Toweill & Treer 1977,Pricklypear,Opuntia sp.,,Opuntia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,x,,,
Roadman 2014,Pricklypear,Prickly Pear,,Opuntia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,x,,,
Martin et al. 1961,Pricklypear,pricklypear,,Opuntia,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,x,,,
Trapp 1973,,Opuntia chlorotica,,Opuntia chlorotica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia chlorotica,,,
Nava-Vargas 1994,,Opuntia cantabrigiensis,,Opuntia engelmannii,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,,,
Nava-Vargas 1994,,Opuntia cantabrigiensis,,Opuntia engelmannii,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,,,
Nava-Vargas 1994,,Opuntia cantabrigiensis,,Opuntia engelmannii,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,,,
Harrison 2012,Desert prickly pear,Opuntia phaeacantha,,Opuntia phaeacantha,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia phaeacantha,,,
Trapp 1973,Desert prickly pear,Opuntia phaecantha ,,Opuntia phaeacantha,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia phaeacantha,,,
Nava-Vargas 1994,,Opuntia pubescens,,Opuntia pubescens,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia pubescens,,,
Navarrete-Ozuna 2011,,Acari Oribatida,,Oribatida,ITIS,suborder,Animalia,Arthropoda,Euchelicerata,Sarcoptiformes,x,x,x,,,
Ackerson and Harveson 2006,Grasshopper,Orthoptera,,Orthoptera,ITIS,order,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Rodríguez-Estrella et al. 2000,Grasshopper,Orthoptera,,Orthoptera,ITIS,order,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Sanchez 2016,Grasshopper,Orthoptera,,Orthoptera,ITIS,order,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Speir et al. 2021,Grasshopper,Orthoptera,,Orthoptera,ITIS,order,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Trapp 1973,Grasshopper,Orthoptera,,Orthoptera,ITIS,order,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Koch & Brody 1981,Grasshopper,Orthoptera spp.,not_specified,Orthoptera,ITIS,order,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Navarrete-Ozuna 2011,Grasshopper,Ortoptera O. Ortoptero,,Orthoptera,ITIS,order,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Cisneros-Moreno & Martínez-Corone 2019,European rabbit,Oryctolagus cuniculus,,Oryctolagus cuniculus,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,,,
Wyatt 1993,California ground squirrel,California ground squirrel,,Otospermophilus beecheyi,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ostospermophilus,Otospermophilus beecheyi,,,
Koch & Brody 1981,California ground squirrel,Spermophilus beecheyi,Otospermophilus beecheyi,Otospermophilus beecheyi,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ostospermophilus,Otospermophilus beecheyi,,,
Harrison 2012,Rock squirrel,Spermophilus variegatus,Otospermophilus variegatus,Otospermophilus variegatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ostospermophilus,Otospermophilus variegatus,,,
Toweill & Treer 1977,,Spermophilus variegatus,Otospermophilus variegatus,Otospermophilus variegatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ostospermophilus,Otospermophilus variegatus,,,
Taylor 1954,,domestic sheep,,Ovis aries,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Bovidae,Ovis,Ovis aries,,,
Bradley & Hansen 1965,,bighorn lamp carcass,Ovis canadensis,Ovis canadensis,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Bovidae,Ovis,Ovis canadensis,carcass,,
Sanchez 2016,,Lophocereus spp.,,Pachycereus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cataceae,Pachycereus,,,,
Sanchez 2016,,Pachycereus pringlei,,Pachycereus pringlei,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cataceae,Pachycereus,Pachycereus pringlei,,,
Calderon Vega 2002,,Pachycereus pringles,,Pachycereus pringlei,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cataceae,Pachycereus,Pachycereus pringlei,,,
Trapp 1973,,Panacoid,,Panicoideae,Unresolved,subfamily,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,florets & seeds,,
Calderon Vega 2002,Paper,papel,,Paper,,human-influenced,Human-Influenced,,Human-Influenced,,,,,,,
Sanchez 2016,Paper,Papel,,Paper,,human-influenced,Human-Influenced,,Human-Influenced,,,,,,,
Roadman 2014,Paper,paper,,Paper,,human-influenced,Human-Influenced,,Human-Influenced,,,,,,,
Trapp 1973,Paper,paper,,Paper,,human-influenced,Human-Influenced,,Human-Influenced,,,,,,,
Speir et al. 2021,Paper,Paper,,Paper,,human-influenced,Human-Influenced,,Human-Influenced,,,,,,,
Grinnell et al. 1937,Sparrow,sparrows,,Passer,ITIS,genus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,x,,,
Taylor 1954,Indigo bunting,indigo bunting,,Passerina cyanea,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina cyanea,,,
Castellanos Morales et al. 2008,White passionflower,Passiflora subpeltata,,Passiflora subpeltata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora subpeltata,,,
Cisneros-Moreno & Martínez-Corone 2019,American cockroach,Periplaneta americana,,Periplaneta americana,ITIS,species,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,,,
Harrison 2012,Pocket mouse,Perognathus sp.,not_specified,Perognathus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,x,,,
Harrison 2012,Silky pocket mouse,Perognathus flavus,Perognathus flavus,Perognathus flavus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus flavus,,,
Roadman 2014,Deer mouse,deer mouse,,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Wyatt 1993,Deer mouse,deer mouse,,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Speir et al. 2021,Deer mouse,Peromyscus,,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Cisneros-Moreno & Martínez-Corone 2019,Deer mouse,Peromyscus sp.,not_specified,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Harrison 2012,Deer mouse,Peromyscus sp.,not_specified,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Koch & Brody 1981,Deer mouse,Peromyscus sp.,not_specified,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Navarrete-Ozuna 2011,Deer mouse,Peromyscus sp. ,,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Grinnell et al. 1937,Deer mouse,Peromyscus spp.,,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Mead & van Devender 1981,Deer mouse,Peromyscus spp.,,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Trapp 1973,Deer mouse,Peromyscus spp. ,,Peromyscus,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,x,,,
Harrison 2012,Brush mouse,Peromyscus boylii,Peromyscus boylii,Peromyscus boylii,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus boylii,,,
Roadman 2014,Canyon Mouse,Canyon Mouse,,Peromyscus crinitus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus crinitus,,,
Calderon Vega 2002,Cactus mouse,Peromyscus eremicus,,Peromyscus eremicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,,,
Rodríguez-Estrella et al. 2000,Cactus mouse,Peromyscus eremicus,,Peromyscus eremicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,,,
Sanchez 2016,Cactus mouse,Peromyscus eremicus,,Peromyscus eremicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus eremicus,,,
Castellanos Morales et al. 2008,Osgood's mouse,Peromyscus gratus,,Peromyscus gratus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus gratus,,,
Taylor 1954,White-footed deermouse,white footed mouse,,Peromyscus leucopus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus,,,
Taylor 1954,White-footed deermouse,white-footed mice,,Peromyscus leucopus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus,,,
Wood 1954,White-footed deermouse,white-footed mouse,,Peromyscus leucopus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus,,,
Alexander et al. 1994,North American deermouse,Peromyscus maniculatus,Peromyscus maniculatus,Peromyscus maniculatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,,,
Navarrete-Ozuna 2011,Mexican deer mouse,M. mexicanus ,,Peromyscus mexicanus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus mexicanus,,,
Toweill & Treer 1977,White-ankled deer mouse,Peromyscus pectoralis,,Peromyscus pectoralis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus pectoralis,,,
Harrison 2012,Pinyon mouse,Peromyscus truei,Peromyscus truei,Peromyscus truei,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus truei,,,
Calderon Vega 2002,,Petrosaurus thalassinus,,Petrosaurus thalassinus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Petrosaurus,Petrosaurus thalassinus,,,
Calderon Vega 2002,,Phalacrocarax sp. ,,Phalacrocorax,ITIS,genus,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae ,Phalacrocorax,x,,,
Calderon Vega 2002,,Orthoptera Phasmatidae,,Phasmatidae,ITIS,family,Animalia,Arthropoda,Insecta,Phasmida,Phasmatidae,x,x,,,
Rodríguez-Estrella et al. 2000,,Phaulothamnus spinescens,,Phaulothamnus spinescens,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Achatocarpaceae,Phaulothamnus,Phaulothamnus spinescens,,,
Alexander et al. 1994,Red tree vole,Phenacomys longicaudus,,Phenacomys longicaudus,Unresolved,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,Phenacomys longicaudus,,,
Castellanos Morales et al. 2008,Canary Island date palm,Phoenix canariensis,,Phoenix canariensis,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Arecales ,Arecaceae,Phoenix,Phoenix canariensis,,,
Calderon Vega 2002,,Phorandendron diguetianum,,Phorandendron diguetianum,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Phorandendron,Phorandendron diguetianum,,,
Navarrete-Ozuna 2011,,Diptera Fam. Phoridae,,Phoridae,ITIS,family,Animalia,Arthropoda,Insecta,Diptera,Phoridae,x,x,,,
Mead et al. 2006,,Phrynosoma coronatum,,Phrynosoma coronatum,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,Phrynosoma coronatum,,,
Rodríguez-Estrella et al. 2000,Leaf-toed gecko,Phyllodactylus nocticolus,,Phyllodactylus nocticolus,ITIS,species,Animalia,Tracheophyta,Reptilia,Squamata,Phyllodactylidae,Phyllodactylus,Phyllodactylus nocticolus,,,
Martin et al. 1961,Groundcherry,groundcherry,,Physalis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Physalis,,,,
Wyatt 1993,American pokeweed,pokeberry,,Phytolacca americana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca americana,,,
Rodríguez-Estrella et al. 2000,Pokeweed,Phytolaccaceae,,Phytolaccaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,,,,,
Taylor 1954,Harris woodpecker,Harris woodpecker,,Picus villosus harrisi,ITIS,subspecies,Animalia,Chordata,Aves,Piciformes,Picidae,Leuconotopicus,Leuconotopicus villosus,,,
Harrison 2012,Colorado pinyon,Pinus edulis,,Pinus edulis,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus edulis,,,
Trapp 1973,,Pisces,,Vertebrata,ITIS,subphylum,Animalia,Chordata,x,x,x,x,x,,,
Cisneros-Moreno & Martínez-Corone 2019,Blackbead,Pithecellobium,,Pithecellobium,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pithecellobium,x,,,
Wyatt 1993,Gopher snake,gopher snake,,Pituophis,ITIS,genus,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,x,,,
Mead et al. 2006,Pine snake,Pituophis melanoleucus,,Pituophis melanoleucus,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis melanoleucus,,,
Speir et al. 2021,Unknown Plant,Plantae,,Plantae,ITIS,kingdom,Plantae,x,x,x,x,x,x,,,
Speir et al. 2021,Plastic,Black Plastic Bag,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Castellanos Morales et al. 2008,,candy wrappers,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Roadman 2014,,candy wrappers,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,Plastic,Clear Plastic,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
Speir et al. 2021,fruit sticker,fruit sticker,,Plastic,,human-influenced,,,Human-Influenced,,,,,,,
